"","ids","test5","test10","test15"
"1",1,87.9375174604552,71.1584354827691,57.1931328390669
"2",2,97.0434159590524,91.9619745829645,85.5611701746655
"3",3,94.2758368059191,85.4057488866334,76.6192929909696
"4",4,71.9163654847559,52.2333747162497,35.5525373611082
"5",5,86.7792600900408,77.6655439378033,68.9606551979183
"6",6,97.2712450356005,92.8353932855986,88.0962456541264
"7",7,72.4734417878363,63.3315398157352,59.3616695557269
"8",8,87.8198043800612,82.5226823887228,79.3016714026099
"9",9,97.8649600651256,94.3500047410686,90.497581569215
"10",10,71.8708441403911,61.635594316003,56.1495951869074
"11",11,78.8418370233422,70.9501651907284,66.942458406637
"12",12,50.5130015982713,21.6515114159299,7.06013231883045
"13",13,81.2239271321171,55.3156656302663,31.7356401983311
"14",14,85.1226372297124,63.3563279855432,41.6479088913099
"15",15,54.3421314842666,35.2736937317894,22.8922981922361
"16",16,97.9452172997643,94.4375394659862,90.162175642078
"17",17,71.2183124073791,61.7254935231763,57.5626148532828
"18",18,85.7139422715376,74.5792695214624,63.4440230129061
"19",19,95.3741387977171,87.8442677532123,79.4010354764977
"20",20,96.8987672211342,91.4890550722788,84.4093353848889
"21",21,69.4797794129043,35.4355695909214,13.3507248407767
"22",22,80.8220324917569,54.8406384105615,31.8890487967947
"23",23,76.6490679715118,46.9562928789404,23.2115944210821
"24",24,84.3049679932674,77.0772155291555,72.1473166342358
"25",25,97.239510775379,92.7004825674555,87.6676900146922
"26",26,76.4986548159766,67.1630591322359,61.6701904119539
"27",27,90.1317011392064,75.0526516618997,59.355414509929
"28",28,62.793454999036,26.8708505523995,8.16642486089293
"29",29,91.6897438749071,79.2938960943291,67.6455805437516
"30",30,85.0457051023981,78.6331414726521,74.7183969799611
"31",31,97.5011541242261,93.1969105591039,87.7820374256137
"32",32,53.5509943561671,27.8301426028248,12.3290804708183
"33",33,99.0574835533462,97.4102958775364,95.3114702523483
"34",34,98.1290300856279,94.9332696870879,91.0451542543631
"35",35,81.9799290811905,74.8508432756341,70.9479087166604
"36",36,94.86617308827,86.7707564270003,78.419610013185
"37",37,80.3480185063334,72.4884018009752,68.0079196846616
"38",38,97.7488827598771,94.0643225573289,90.0894396186864
"39",39,93.5825233309579,83.1996953673974,71.3740297499326
"40",40,53.1640880413965,27.5488349497806,12.1894250705052
"41",41,89.984987667444,77.8450279379331,63.8792449432815
"42",42,63.3772042876673,39.5601221733756,22.086821233498
"43",43,67.3737267491845,55.6387204851956,49.1043249813595
"44",44,56.7527790554435,31.5301682895212,15.2232106767706
"45",45,76.7865092249876,48.5478712007706,27.6565493294057
"46",46,60.8625828184743,42.8166441973724,30.1209855052657
"47",47,76.5128452934175,62.0220102422364,49.5111076427177
"48",48,95.1729229852382,87.2495155983655,78.1231594639122
"49",49,52.2219821900468,26.8672948191707,11.8517939198468
"50",50,96.8148894922799,91.5724718646993,85.6846831712812
